OMIM:182410,ADA2
OMIM:182600,ATL1
OMIM:182601,SPAST
OMIM:182920,MYOT
OMIM:182980,VAPB
OMIM:183086,CACNA1A
OMIM:183090,ATXN2
OMIM:183900,COL2A1
OMIM:184095,TRPV4
OMIM:184250,COL2A1
OMIM:184252,TRPV4
OMIM:184260,TRIP11
OMIM:184450,AP4E1
OMIM:184460,NOG
OMIM:184500,KRT17
OMIM:184900,FBN1
OMIM:185000,RHAG
OMIM:185020,SLC4A1
OMIM:185300,GNAQ
OMIM:185500,ELN
OMIM:186000,HOXD13
OMIM:186100,GJA1
OMIM:186300,HOXD13
OMIM:186500,NOG
OMIM:186570,NOG
OMIM:186580,NOD2
OMIM:187600,FGFR3
OMIM:187601,FGFR3
OMIM:187800,ITGA2B
OMIM:187900,GFI1B
OMIM:188000,ANKRD26
OMIM:188055,F5
OMIM:188400,TBX1
OMIM:188550,NKX2-1
OMIM:188570,THRB
OMIM:188580,CACNA1S
OMIM:188740,LMBR1
OMIM:189500,MSX1
OMIM:190300,DRD3
OMIM:190320,DLX3
OMIM:190330,FGF5
OMIM:190350,TRPS1
OMIM:190351,TRPS1
OMIM:190440,FGFR1
OMIM:190685,GATA1
OMIM:190900,OPN1SW
OMIM:191100,TSC1
OMIM:191480,PADI3
OMIM:191800,CHRNA3
OMIM:191900,NLRP3
OMIM:192315,TREX1
OMIM:192605,GNAI2
OMIM:192950,HOXD10
OMIM:193100,FGF23
OMIM:193220,BEST1
OMIM:193230,KCNJ13
OMIM:193235,CAPN5
OMIM:193400,VWF
OMIM:193500,PAX3
OMIM:193520,NF1
OMIM:193670,CXCR4
OMIM:194071,H19-ICR
OMIM:194080,WT1
OMIM:194200,PRKAG2
OMIM:194380,PIEZO1
OMIM:200100,MTTP
OMIM:200110,TWIST2
OMIM:200150,VPS13A
OMIM:200500,LMBR1
OMIM:200600,TRIP11
OMIM:200610,COL2A1
OMIM:200950,ACP2
OMIM:201000,RAB23
OMIM:201100,SLC39A4
OMIM:201250,GDF5
OMIM:201400,TBX19
OMIM:201450,ACADM
OMIM:201470,ACADS
OMIM:201475,ACADVL
OMIM:201710,STAR
OMIM:201750,POR
OMIM:201810,HSD3B2
OMIM:201910,CYP21A2
OMIM:202010,CYP11B1
OMIM:202110,CYP17A1
OMIM:202300,TP53
OMIM:202370,PEX5
OMIM:203100,TYR
OMIM:203290,TYRP1
OMIM:203300,HPS1
OMIM:203400,CYP11B2
OMIM:203450,GFAP
OMIM:203500,HGD
OMIM:203655,HR
OMIM:203700,POLG
OMIM:203740,OGDH
OMIM:203750,ACAT1
OMIM:203800,ALMS1
OMIM:204100,RPE65
OMIM:204200,CLN3
OMIM:204300,CLN6
OMIM:204500,TPP1
OMIM:204650,ENAM
OMIM:204690,FAM20A
OMIM:204700,KLK4
OMIM:204750,DHTKD1
OMIM:204870,TACSTD2
OMIM:205100,ALS2
OMIM:205400,ABCA1
OMIM:205950,SLC25A38
OMIM:206100,SLC11A2
OMIM:206200,TMPRSS6
OMIM:206500,TRIM36
OMIM:206800,RSPO4
OMIM:206920,SMOC1
OMIM:207750,APOC2
OMIM:207800,ARG1
OMIM:207900,ASL
OMIM:208050,SLC2A10
OMIM:208085,VPS33B
OMIM:208100,ERGIC1
OMIM:208230,CCN6
OMIM:208250,PRG4
OMIM:208400,AGA
OMIM:208530,GDF1
OMIM:208540,NPHP3
OMIM:208900,ATM
OMIM:208920,APTX
OMIM:209300,TF
OMIM:209500,HR
OMIM:209850,SNRPN
OMIM:209885,TWIST2
OMIM:209950,IFNGR1
OMIM:210000,OPA1
OMIM:210100,AGXT2
OMIM:210200,MCCC1
OMIM:210210,MCCC2
OMIM:210370,CYP4V2
OMIM:210600,ATR
OMIM:210710,RNU4ATAC
OMIM:210720,PCNT
OMIM:210900,BLM
OMIM:211180,EMG1
OMIM:211380,CDH11
OMIM:211500,SLC52A3
OMIM:211750,CD96
OMIM:211800,NT5E
OMIM:212050,CARD9
OMIM:212065,PMM2
OMIM:212066,MGAT2
OMIM:212070,CPN1
OMIM:212093,PLD1
OMIM:212112,LMNA
OMIM:212138,SLC25A20
OMIM:212140,SLC22A5
OMIM:212500,LEMD2
OMIM:212550,SIX6
OMIM:213000,OXR1
OMIM:213200,PMPCA
OMIM:213700,CYP27A1
OMIM:213980,TMCO1
OMIM:214110,PEX5
OMIM:214150,ERCC6
OMIM:214300,MEOX1
OMIM:214350,RIPK4
OMIM:214400,GDAP1
OMIM:214450,MYO5A
OMIM:214500,LYST
OMIM:214700,SLC26A3
OMIM:214950,AMACR
OMIM:215045,PTH1R
OMIM:215100,PEX7
OMIM:215140,LBR
OMIM:215150,COL11A2
OMIM:215300,EXT1
OMIM:215470,PNPLA6
OMIM:215700,ASS1
OMIM:216100,ESCO2
OMIM:216360,TMEM67
OMIM:216400,ERCC8
OMIM:216550,VPS13B
OMIM:216820,SALL2
OMIM:217000,C2
OMIM:217080,CNNM4
OMIM:217085,WDPCP
OMIM:217090,PLG
OMIM:217300,KERA
OMIM:217400,SLC4A11
OMIM:217700,SLC4A11
OMIM:217800,CHST6
OMIM:218000,SLC12A6
OMIM:218030,HSD11B2
OMIM:218040,HRAS
OMIM:218400,GJA1
OMIM:218600,RECQL4
OMIM:218700,PAX8
OMIM:218800,UGT1A1
OMIM:219050,INSL3
OMIM:219100,FBLN5
OMIM:219150,ALDH18A1
OMIM:219500,CTH
OMIM:219730,CRB2
OMIM:219750,CTNS
OMIM:219800,CTNS
OMIM:219900,CTNS
OMIM:220111,LRPPRC
OMIM:220120,GLYCTK
OMIM:220210,WASHC5
OMIM:220600,DLX5
OMIM:221200,SLITRK6
OMIM:221750,LHX3
OMIM:221900,ATOH7
OMIM:222448,LRP2
OMIM:222600,SLC26A2
OMIM:222700,SLC7A7
OMIM:222730,SLC1A1
OMIM:222748,DPYS
OMIM:222765,GNPAT
OMIM:222800,BPGM
OMIM:222900,SI
OMIM:223000,LCT
OMIM:223100,MCM6
OMIM:223360,DBH
OMIM:223800,DYM
OMIM:223900,ELP1
OMIM:224100,SEC23B
OMIM:224410,HSPG2
OMIM:224500,HPCA
OMIM:224690,ORC1
OMIM:224750,WNT10A
OMIM:225060,NECTIN1
OMIM:225100,ADAMTSL4
OMIM:225200,ADAMTSL4
OMIM:225250,NKX2-5
OMIM:225280,CDH3
OMIM:225300,WNT10B
OMIM:225320,COL1A2
OMIM:225400,PLOD1
OMIM:225750,TREX1
OMIM:225753,TSEN54
OMIM:225790,FLVCR2
OMIM:226200,TMPRSS15
OMIM:226300,CD55
OMIM:226670,PLEC
OMIM:226900,SLC26A2
OMIM:226960,RNU4ATAC
OMIM:226980,EIF2AK3
OMIM:226990,IRF8
OMIM:227260,TWIST2
OMIM:227300,LMAN1
OMIM:227400,F5
OMIM:227500,F7
OMIM:227600,F10
OMIM:227645,FANCC
OMIM:227646,FANCD2
OMIM:227810,SLC2A2
OMIM:228000,ASAH1
OMIM:228300,LHB
OMIM:228600,ANTXR2
OMIM:228930,WNT7A
OMIM:228960,KNG1
OMIM:228980,PLA2G5
OMIM:229050,SLC46A1
OMIM:229070,FSHB
OMIM:229100,FTCD
OMIM:229300,FXN
OMIM:229600,ALDOB
OMIM:229700,FBP1
OMIM:229800,KHK
OMIM:230000,FUCA1
OMIM:230200,GALK1
OMIM:230350,GALE
OMIM:230400,GALT
OMIM:230450,GCLC
OMIM:230500,GLB1
OMIM:230600,GLB1
OMIM:230650,GLB1
OMIM:230740,ANTXR1
OMIM:230900,GBA
OMIM:231000,GBA
OMIM:231005,GBA
OMIM:231050,ADAMTSL2
OMIM:231090,NLRP7
OMIM:231095,TBXAS1
OMIM:231530,HADH
OMIM:231670,GCDH
OMIM:231690,SUGCT
OMIM:231900,GSS
OMIM:231950,GGT1
OMIM:232200,G6PC1
OMIM:232220,SLC37A4
OMIM:232240,SLC37A4
OMIM:232300,GAA
OMIM:232400,AGL
OMIM:232500,GBE1
OMIM:232600,PYGM
OMIM:232700,PYGL
OMIM:232800,PFKM
OMIM:233100,SLC5A2
